id,victim,industry,industry_group,industry__Agriculture,industry__Energy,industry__Manufacturing,industry__Mining,industry__Transportation,industry__Water,threat_actor,threat_actor_encoded,sites,ot_or_physical_consecuences,incident_summary,references,day,month,year,Africa,Asia,Australia,Europe,North America,South America
62,Norsk Hydro,Metals & Mining,Mining,0,0,0,1,0,0,Ransomware,2,170,Halted production at 170 sheet aluminum plants,"Infected by the LockerGoga ransomware, initially spread at Norsky Hydro through phishing emails on the IT network",news.microsoft.com,18.0,3.0,2019.0,0,0,0,1,0,0
68,City Power Johannesburg,Power,Energy,0,1,0,0,0,0,Ransomware,2,1,Power outage for 250k customers and delayed restoration,"Ransomware encrypts the IT system, preventing customers on pre-paid plans from purchasing electricity, and hampering line crews’ efforts to restore localized blackouts","twitter.com, bbc.com",26.0,7.0,2019.0,1,0,0,0,0,0
72,Pilz,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown systems, reverted to manual ops., and slowed production for 1 week","Slowdown due to impaired order tracking, due to BitPaymer ransomware attack",drivesncontrols.com,13.0,10.0,2019.0,0,0,0,1,0,0
77,RavnAir Alaska,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Canceled Dash-8-100 flights for 24 hours,"Canceled Dash-8 flights because a cyber attack caused outage of the Dash-8 maintenance system and its backup, which is required for flight",theregister.com,20.0,12.0,2019.0,0,0,0,0,1,0
80,Picanol,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,3,"Shutdown manufacturing plants for 1 weeks, and sent workers home","Picanol is a manufacturer of weaving machines, and their manufacturing plants are heavily automated. Financial impact amounts paid for external experts",picanolgroup.com,13.0,1.0,2020.0,0,1,0,1,0,0
85,Toll Group,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown systems and reverted to manual ops.,"Australian-based global logistics company suffered a targeted ransomware attack, and shutdown automation in an abundance of caution","zdnet.com, zdnet.com",31.0,1.0,2020.0,0,0,1,0,0,0
90,Miltenyi Biotech,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,28,Impaired global order processing for 2 weeks,Mount Locker ransomware impacted manufacturer and distributor of biotechnology & COVID-19 products. 150 GB data was exfiltrated and 1GB leaked publicly,bleepingcomputer.com,2.0,2.0,2020.0,0,0,0,1,0,0
96,KHS Bicycles,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Delayed shipments for 2 days,Could not process B2B orders and ship bikes following a ransomware attack over the weekend,bicycleretailer.com,24.0,2.0,2020.0,0,0,0,0,1,0
103,EVRAZ manufacturing,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,"Shutdown operations at several plants, and sent 900+ workers home for 3+ days","After an attack on IT systems, production was halted at least two sites in Canada. IT systems depend on OT and ""necessary to ensure standards and traceability""","cbc.ca/news/canada/saskatchewan/evraz-regina-shut-down-ransomware-attack-1.5487017, globalnews.ca/news/6640313/evraz-regina-cyberattack-layoffs",4.0,3.0,2020.0,0,0,0,0,1,0
108,Shahid Rajaee port,Transportation,Transportation,0,0,0,0,1,0,Nation State,1,1,"Halted port terminal, abruptly and inexplicably","Sophisticated attack by Israel and retaliation for Iran's attacks on Israeli water systems in April, which were caught and defeated in real-time","timesofisrael.com, timesofisrael.com",9.0,5.0,2020.0,0,1,0,0,0,0
113,Fisher & Paykel Appliances,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown appliance manufacturing and distribution ops.,Victim of the Netfilim ransomware group. They refused to pay and suffered a large data leak,stuff.co,4.0,6.0,2020.0,0,0,1,0,0,0
118,Honda,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,4,Shutdown global plant manufacturing ops. for 4 days and delayed vehicle shipments,"Victim of EKANS (""Snake"") ransomware that spread to at least 4 plants. The malware spread from IT servers to the control network suggesting poor network segmentation","icsstrive.com, telegraph.co",9.0,6.0,2020.0,0,1,0,1,1,0
122,Lion,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,45,Shutdown brewery operations for 2+ weeks,"Hit by two separate REvil ransomware attacks weeks apart, during the early months of the Covid-19 pandemic","zdnet.com, smh.com",9.0,6.0,2020.0,0,0,1,0,0,0
126,X-FAB,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,6,"Shutdown all plants: down 2 weeks at 5 sites, and 1 week for another",X-FAB is a leading MEMS analog/mixed-signal chip fab and fell victim to a Maze ransomware attack,businesswire.com,5.0,7.0,2020.0,0,1,0,1,1,0
130,Tower Semiconductor,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,"Shutdown ""several"" plants","Tower Semi manufactures integrated circuits, and has 2 plants in Israel, 2 in the USA, and 3 in Japan. Further details were not made public",cisomag.com,6.0,9.0,2020.0,0,1,0,0,0,0
133,Bluescope Steel,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,"Shutdown production, and reverted to manual operations for some processes","Ransomware infection was first detected in their USA- based subsidiary, but the attack eventually impacted global production ops.",abc.net,15.0,9.0,2020.0,0,0,1,0,0,0
138,IPG Photonics,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Shutdown global parts manufacturing and shipping,"The Oxford, MA based industrial, medical, and military laser manufacturer was hit by RansomExx malware","icsstrive.com, bleepingcomputer.com",17.0,10.0,2020.0,0,0,0,0,1,0
143,Société de transport de Montréal (STM),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Shutdown on-call, door to door, paratransit services for nearly a week","Montreal's transit service was hit by RansomExx ransomware, and they refused to pay the $2.8 mil demanded","cbc.ca/news/canada/montreal/stm-refused-to-pay-2-8-million-ransomware-attack-1.5782838, stm.info/en/press/news/2020/the-stm-completes-cyber-attack-investigation",19.0,10.0,2020.0,0,0,0,0,1,0
148,Steelcase,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown all plants for 2 weeks; delayed $60m in shipments to the 4th quarter,"Office furniture maker the victim of a Ryuk ransomware attack that shutdown global order management, manufacturing, and distribution systems","bleepingcomputer.com, mibiz.com",22.0,10.0,2020.0,0,0,0,0,1,0
155,Dr Reddy's Laboratories,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,5,Shutdown production at 5 plants and stocks fell 3%,"A week after agreeing to produce the Sputnik V Covid-19 vaccine for final trials, Dr Reddy's was subject to a ransomware attack","businessinsider.in/india/news/dr-reddys-shares-fell-over-3-the-drug-maker-isolated-all-data-service-centers-after-a-cyber-attack/articleshow/78806238.cms, thehindu.com",22.0,10.0,2020.0,0,1,0,1,1,1
163,Stelco,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Unknown,3,1,"Shutdown steel production, temporarily",The company has reported the incident to law enforcement and did not give further details.,insurancebusinessmag.com,25.0,10.0,2020.0,0,0,0,0,1,0
169,Symrise,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown production out of abundance of caution,The flavor and fragrance manufacturer was hit by a Cl0p ransomware attack,"bleepingcomputer.com, handelsblatt.com",13.0,12.0,2020.0,0,0,0,1,0,0
176,Forward Air,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown operations and delayed shipments for a week,Hades ransomware gang attack impacted both IT and OT systems leading to delivery delays which may impact financial results,"freightwaves.com, freightwaves.com",15.0,12.0,2020.0,0,0,0,0,1,0
181,Westrock,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Forced manual ops, reduced production by 85K tons, and delayed shipments","After the packaging manufacturer was hit by ransomware, they shutdown systems in an abundance of caution, which impacted production and shipment volumes",ir.westrock.com,23.0,1.0,2021.0,0,0,0,0,1,0
187,Palfinger AG,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,31,Lost nearly 2 weeks crane production at all plants,The world's largest crane manufacturer. All global plants were affected.,bitdefender.com,26.0,1.0,2021.0,0,1,0,1,1,1
190,Molson Coors,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,13,"Disrupted brewery production and shipments, delaying 120-$140m in earnings",Took all systems offline to contain the spread. By end of the month was still dealing with delays and disruptions,"bleepingcomputer.com, securityweek.com",11.0,3.0,2021.0,0,0,0,1,1,0
195,Sierra Wireless,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Halted production at all manufacturing sites,"IoT, cellular, and wireless device manufacturer with an unknown number of manufacturing sites",isssource.com,20.0,3.0,2021.0,0,0,0,0,1,0
198,Asteelflash Group SA,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,20,Shutdown multiple printed circuit board plants,A leading Electronics Manufacturing Services (EMS) company suffered a REvil ransomware attack,icsstrive.com,25.0,3.0,2021.0,0,0,0,1,0,0
202,JBI Bike,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,11,Delayed shipments for 7+ days,"A wholesale bicycle and parts distributor, with 11 warehouses, where only some were back up a week after the attack",bicycleretailer.com,1.0,4.0,2021.0,0,0,0,0,1,0
209,Bakkier Logistiek,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Disrupted new orders, delayed shipments to retail outlets for 5 days",Caused shortages of packaged cheese at retail,icsstrive.com,4.0,4.0,2021.0,0,0,0,1,0,0
214,Colonial Pipeline,Oil & Gas,Energy,0,1,0,0,0,0,Ransomware,2,1,Shutdown pipeline for 6 days and paid a $4.4M ransom,"DarkSide ransomware behind attack on the largest gasoline pipeline in USA, triggering widespread gasoline shortages in US Northeast",icsstrive.com,7.0,5.0,2021.0,0,0,0,0,1,0
218,Ardagh Group,Process Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Slowed production and delayed shipments,"Metal and glass beverage packaging facilities remained operational, but some processes reverted to manual operation causing shipment delays",isssource.com,20.0,5.0,2021.0,0,0,0,1,0,0
221,JBS SA,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,5,Several large meatpacking plants shut down and sent workers home,"Plants in Nebraska, Colorado, Texas, Brooks, and Australia canceled production shifts",cbc.ca/news/business/jbs-meat-cyberattack-1.6048942,30.0,5.0,2021.0,0,0,1,0,1,0
224,Iran Rails,Transportation,Transportation,0,0,0,0,1,0,Hacktivist,0,1,Impaired service by reprogramming signs and wiping computers,"Targeted by the Predatory Sparrow group, infected with wiper malware, and reprogrammed rail signage causing “unprecedented chaos”","nytimes.com, theguardian.com",9.0,7.0,2021.0,0,1,0,0,0,0
229,Transnet,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,4,Declared Force Majeure and halted operations for 7 days,"Transnet said ports at Durban, Ngqura, Port Elizabeth and Cape Town were affected",reuters.com,22.0,7.0,2021.0,1,0,0,0,0,0
232,New Cooperative,Agriculture,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"Delayed grain receipts & shipments, & shutdown fertigation optimization system",BlackMatter ransomware attack impacted grain transactions during harvest season. Systems were pre-emptively shutdown to stop the spread,icsstrive.com,17.0,9.0,2021.0,0,0,0,0,1,0
235,Crystal Valley Cooperative,Agriculture,Agriculture,1,0,0,0,0,0,Ransomware,2,1,Shutdown for 4 days and reverted to manual ops.,"During harvest season were unable to mix fertilizer, fulfil livestock feed orders, and switched to manual ops for receiving grain by issuing paper receipts",icsstrive.com,19.0,9.0,2021.0,0,0,0,0,1,0
240,Weir Group,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Disrupted manufacturing, engineering, and shipping","When the attack was detected, ""systems promptly responded by shutting down core operations."" Loss projected at £20-30m",icsstrive.com,21.0,9.0,2021.0,0,0,0,1,0,0
243,Ferrara,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,2,Shutdown operations and delayed shipments for more than two weeks,"Candymaker suffered production shutdowns prior to Halloween, but had only resumed production in ""select facilities"" two weeks later","cyberscoop.com, manufacturing.net",9.0,10.0,2021.0,0,0,0,0,1,0
247,Schreiber Foods,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,30,"Shutdown production and delivery for 5 days, and disrupted dairy supply chain","Large cheese and yogurt manufacturer could not receive, produce, or ship dairy product due to an attack on their plants and distribution centers","cyberscoop.com, wisfarmer.com",22.0,10.0,2021.0,0,0,0,1,1,1
254,Diamond Comic Book Distributors,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Delayed retail shipments by 2-4 days, twice","Diamond is a top distributor for Marvel, Dark Horse, and Image comics. Scheduled orders were temporarily halted after a ransomware attack the prevented delivery.",icsstrive.com,7.0,11.0,2021.0,0,0,0,0,1,0
259,Estrella Damm Brewery,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,2,Shutdown production for 5 days at all breweries (impacted bottling),"Had this occurred in the summer, consequences would have been more severe as stocks only last 3 days",icsstrive.com,8.0,11.0,2021.0,0,0,0,1,0,0
263,Nortura,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,2,Production halted at several sites for more than a week,"Shutdown meat processing plants after a ransomware attack, with one report of animals destined for slaughter being diverted to competitors","icsstrive.com, web.archive.org",21.0,12.0,2021.0,0,0,0,1,0,0
269,Amedia,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Unknown,3,1,Shutdown printing presses for 1.5 days,Norway's largest local news publisher was forced to shut down their presses after an unspecified cyber attack shut them down.,icsstrive.com,28.0,12.0,2021.0,0,0,0,1,0,0
273,Bay & Bay Transportation,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Lost 1.5 weeks of production,"Hit by Conti ransomware, and systems taken offline and remediated","freightwaves.com, icsstrive.com",1.0,1.0,2022.0,0,0,0,0,1,0
278,CPH Chemie & Papier Holding,Process Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"6 days of downtime; lost 8,400 tons in paper output","Newsprint, packaging, and lightweight coated paper (LWC) producer in Perlen and Müllheim was forced into a controlled shutdown after a cyber attack","euwid-paper.com, icsstrive.com",7.0,1.0,2022.0,0,0,0,1,0,0
284,Kenyon Produce (KP) Snacks,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"Halted production, delayed deliveries for 2 months, & capped orders","Hit by Conti ransomware, the snack maker ""cannot safely process orders or dispatch goods."" Orders will be capped while existing stocks consumed","foodprocessing.com, isssource.com",28.0,1.0,2022.0,0,0,0,1,0,0
287,Marquard & Bahls subsidiaries Mabanaft & Oiltanking,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,11,"Declared force majeure, halted operations for 2 weeks","BlackCat (ALPHV) ransomware halted loading and unloading of fuel and bulk oil at port, and had a minor impact on automotive fuel distribution in Germany","bbc.com, icsstrive.com",29.0,1.0,2022.0,0,0,0,1,0,0
290,SEA-Tank & SEA-Invest Group,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,24,Halted operations at all European and African ports,Every SEA-Tank or SEA-Invest port terminal in Europe and Africa could not unload fuel due to a reported BlackCat (ALPHV) ransomware attack,"isssource.com, icsstrive.com",30.0,1.0,2022.0,0,0,0,1,0,0
293,Evos Group,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,3,"Delayed unloading fuel at 3 ports: Terneuzen, Ghent, and Birzebbuga",Cyber attack delayed loading and unloading of fuel and bulk oil at port for the storage logistics company. The Malta operation was just recently acquired from Oiltanking,"insurancejournal.com, icsstrive.com",2.0,2.0,2022.0,0,0,0,1,0,0
298,Swissport,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Delayed 22 flights, cargo, and freight services for 20 min",BlackCat (ALPHV) ransomware attack forced Swissport to revert to manual ops and backup procedures,"icsstrive.com, spiegel.de/netzwelt/web/swissport-hackerangriff-stoert-zeitweise-flugbetrieb-in-der-schweiz-a-44285ac8-ad73-42ea-b751-91559c2ff4c8",3.0,2.0,2022.0,0,0,0,1,0,0
305,Jawaharlal Nehru Port Container Terminal (JNPCT),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Diverted incoming vessels and halted in-progress loading/unloading at port,"Management Information System (MIS) knocked out by ransomware at JNPCT, one of five marine facilities at the Nhava Sheva container gateway","theloadstar.com, icsstrive.com",21.0,2.0,2022.0,0,1,0,0,0,0
309,Expeditors,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown operations for 3+ weeks,"Cannot ship freight or manage customs processing, thereby halting ops. The financial cost to restore systems and in lost business was significant","bleepingcomputer.com, icsstrive.com",22.0,2.0,2022.0,0,0,0,0,1,0
314,Caledonian Modular,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Shutdown manufacturing ops.,Modular building manufacturer's lost production output due to the attack was a major factor in the company's March insolvency,"theconstructionindex.co, icsstrive.com",24.0,2.0,2022.0,0,0,0,1,0,0
319,Bridgestone,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,23,"10 days lost production, and workers sent home, at all 23 tire plants in the Americas","Lockbit ransomware prompted the shut down all plants in the western hemisphere, in an abundance of caution, and begin recovery",icsstrive.com,27.0,2.0,2022.0,0,0,0,0,1,1
323,Belarus Railway,Transportation,Transportation,0,0,0,0,1,0,Hacktivist,0,1,"Halted trains in Minsk, Orsha, and Osipovichi","The Belarusian ""Cyber Partisans"" encrypt and disable routing and switching devices, stranding trains at station, to slow Russian troops transiting to the Ukrainian front",bqprime.com,28.0,2.0,2022.0,0,0,0,1,0,0
327,"Kojima Industries, Toyota, Hino, & Daihatsu",Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,14,"Shutdown all Japanese auto and truck plants for 1 day, and lost production of 10K units","When 3rd party supplier Kojima was hit by ransomware, Toyota chose to shut down all their Japanese plants in an abundance of caution",isssource.com,28.0,2.0,2022.0,0,1,0,0,0,0
330,Rosetti Energy,Power,Energy,0,1,0,0,0,0,Hacktivist,0,2,Deactivated all EV charging stations between Moscow and St. Petersberg,"Hacktivists remotely disable all electric vehicle charging stations along the M-11 motorway, and reprogram displays criticizing President Putin",icsstrive.com,28.0,2.0,2022.0,0,1,0,0,0,0
335,H.P. Hood Dairy LLC,Food & Beverage,Agriculture,1,0,0,0,0,0,Unknown,3,13,"Shutdown production 1 week, disposed all dairy product, canceled orders & deliveries","Cyber attack prompted taking Hood's 13 plants offline in an abundance of caution, and could not receive materials to manufacture dairy products","boston.com, icsstrive.com",11.0,3.0,2022.0,0,0,0,0,1,0
340,ELTA (Hellenic Post),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Disrupted postal services for 17 days, nationally","Unpatched vulnerability led to reverse shell & ransomware deployment, disrupting all mail, financial, and bill payment services processed through the Greek Post","therecord.media/greeces-national-postal-service-restoring-systems-after-ransomware-attack, icsstrive.com",20.0,3.0,2022.0,0,0,0,1,0,0
345,TAVR Corporate Group,Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"Shutdown production and recorded a ""significant economic loss""","TAVR makes 50K tons of meat and sausage in Rostov-on-don, close to the Ukraine border. A rep assessed the event as “meticulously planned and significant sabotage”",icsstrive.com,24.0,3.0,2022.0,0,1,0,0,0,0
350,Bulgarian State Post Office,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"2+ week outage of 26 national postal services, including deliveries","Russian-originated ransomware attack to the Bulgarian Post, where attackers moved laterally into all IT and OT systems affecting all 26 offered services","euractiv.com, icsstrive.com",16.0,4.0,2022.0,0,0,0,1,0,0
354,Costa Rican Customs Service,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,"Slowed shipments for > 1 month, and shutdown Customs' systems","Small part of a massive Conti and Hive ransomware attack on Costa Rica's government, and container freight shipments to slow to a trickle at the port of Limón","fas.usda.gov, icsstrive.com",17.0,4.0,2022.0,0,0,0,0,1,0
359,Sunwing Airlines,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,"Shutdown check-in systems, delay or cancel 188 flights","Discount holiday carrier's passengers stranded during the busy Easter long weekend, where “a system that is running all the time, which never fails, was hacked""","infosecurity-magazine.com, icsstrive.com",18.0,4.0,2022.0,0,0,0,0,1,0
363,AGCO,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown majority of production in for 15+ days, and sent workers home","Attack on major tractor and equipment manufacturer occurs at the start of planting season, during peak global demand for new equipment and parts from dealers","theregister.com, icsstrive.com",5.0,5.0,2022.0,0,0,0,1,1,0
367,SpiceJet,Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Grounded or delayed planes for 5+ hours,"""Attempted ransomware"" attack on SpiceJet caused major delays for air travellers, causing a cascading effect on future flight schedules",icsstrive.com,25.0,5.0,2022.0,0,1,0,0,0,0
372,Foxconn Baja California,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Disrupted production for 2 weeks, & forced production capacity adjustment","Lockbit gang ransomed the plant in Tijuana, which supplies most of California's brand-labeled consumer electronics. 2nd time in 2 years this plant was hit by ransomware","therecord.media/foxconn-mexico-factory-operations-gradually-returning-to-normal-after-ransomware-attack, isssource.com",31.0,5.0,2022.0,0,0,0,0,1,0
377,CMC Electronics,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,Disrupted and delayed ops.,"BlackCat (ALPHV) ransomware encrypted systems and ""disrupted operations"" to a key supplier of avionics of Canada's Department of National Defense","itworldcanada.com, icsstrive.com",31.0,5.0,2022.0,0,0,0,0,1,0
382,Yodel,Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,Delayed parcel delivery for millions of customers,"Suspected but unconfirmed ransomware attack shuts down critical operations, including delivery tracking, for millions awaiting home delivery of goods and services","bleepingcomputer.com, icsstrive.com",22.0,6.0,2022.0,0,0,0,1,0,0
387,Apetito (parent of Wiltshire Food Farms),Food & Beverage,Agriculture,1,0,0,0,0,0,Ransomware,2,1,"5-day halt to food deliveries, and rebuilt systems","Hive ransomware hits Meals-on-wheels serving institutions and the vulnerable. Apetito reverted to manual procedures, and a complete system rebuild to restore ops",icsstrive.com,25.0,6.0,2022.0,0,0,0,1,0,0
392,Macmillan Publishers,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Halted orders & shipments; backlogged regional warehouses for months,"Ransomware attack on a major publisher closed offices in NYC and London, disrupting order processing, and causing months of delivery backlogs at regional warehouses",icsstrive.com,25.0,6.0,2022.0,0,0,0,1,1,0
396,"Khuzestan Steel (KSC), Mobarakeh Steel (MSC), & Hormozgan Steel (HOSCO)",Metals & Mining,Mining,0,0,0,1,0,0,Hacktivist,0,1,Damaged equipment and halted production at the KSC plant.,Predatory Sparrow group claimed responsibility set the KSC plant on fire and posted CCTV of the incident on twitter. Any potential damages to MSC and HOSCO remain unconfirmed,"timesofisrael.com, icsstrive.com",27.0,6.0,2022.0,0,1,0,0,0,0
400,Knauf,Process Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,2,Shutdown production for 3+ weeks; Delayed existing and canceled all new orders,"After a BlackBasta ransomware attack, Knauf pre- emptively shut down to facilitate recovery and forensics, and operated both plants manually","techmonitor.ai/technology/cybersecurity/knauf-cyberattack-blackbasta-ransomware, icsstrive.com",29.0,6.0,2022.0,0,0,0,1,0,0
404,Eglo,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown production, order processing and shipping for 12 days","Lighting manufacturer's CEO confirmed the ransomware attack, but noted that no ransom note had been received by the time they begun recovery","diepresse.com, icsstrive.com",18.0,7.0,2022.0,0,0,0,1,0,0
409,Semikron-Danfoss,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,8,Shutdown production for months,"A power-electronics semiconductor maker for ICS, EVs and wind turbines suffered a LV ransomware attack, and was not fully restored months after the incident","bleepingcomputer.com, icsstrive.com",29.0,7.0,2022.0,0,0,0,1,0,0
414,Ontario Cannabis Retail Corporation (OCS),Transportation,Transportation,0,0,0,0,1,0,Unknown,3,1,Halted delivery & distribution province-wide for 5 days,"Through the OCS crown corporation, the provincial government of Ontario controls and regulates the supply of cannabis to all retail stores","cbc.ca/news/canada/toronto/ontario-cannabis-store-1.6549657, icsstrive.com",5.0,8.0,2022.0,0,0,0,0,1,0
