id,day,month,year,source_database,source_database_encoded,attack_description,industry_type,industry_type_group,industry_type_group_encoded,subcategory,subcategory_group,subcategory_group_encoded,attack_details,ti_safe_score,impact,link_at_the_internet,Africa,Asia,Australia,Europe,North America,South America
1286,10,4,2024,TI Safe,4,"Second ransomware attack in 2024 on Change Healthcare, threatening data leak and demanding ransom.",Hospital and health,Health and Homecare,6,Healthcare services,Healthcare,15,"Change Healthcare has faced a second major ransomware attack in 2024, just weeks after a previous attack took down its systems and caused delays in prescription services across the US. In this new incident, the RansomHub hacker group claims to have 4TB of",4.0,"Sensitive data leak, critical services disruption, ransom demand.",itpro.com,0,0,0,0,1,0
1285,12,4,2024,TI Safe,4,"Ukrainian hackers disabled 87,000 sensors in Moscow's sewage system, causing significant damage.",Government,Public,9,Sewage system,Critical Infrastructure,7,"Ukrainian hackers affiliated with intelligence services disabled 87,000 sensors in Moscow's sewage system, causing significant damage. The attack was intentional, originated from the Blackjack group. This affected the city's infrastructure and public serv",4.0,"Disabling 87,000 sensors, damage to the emergency control system, and other significant damages.",cybernews.com,0,1,0,0,0,0
1284,11,4,2024,TI Safe,4,"Phishing attack targets German firms with Rhadamanthys Stealer, aiming to steal information and launching a phishing campaign with an invoice theme.",Tecnology,Technology,10,Tecnology Services,Technology,24,"Phishing attack targets German firms with Rhadamanthys Stealer, aiming to steal information and launching a phishing campaign with an invoice theme. The TA547 group, known for financially motivated attacks, employs various tactics to deliver malware, incl",3.0,Information theft and impact on German companies' operations.,thehackernews.com,0,0,0,1,0,0
1283,11,4,2024,TI Safe,4,"Five French municipalities hit by a major cyberattack, leaving servers inaccessible for months and impacting 100,000 residents.",Government,Public,9,Public services,Public,21,"A major cyberattack hit five French municipalities, disrupting essential public services and impacting 100,000 residents. Servers were inaccessible for months, with the origin of the attack still unknown. Recovery may take a long time, highlighting the vu",4.0,"Services inaccessible for months, directly impacting 100,000 residents.",therecord.media,0,0,0,1,0,0
1282,13,4,2024,TI Safe,4,"Iranian cyber attack on Israel leading to war preparation, destabilization with stockpile alerts, and power outages.",Government,Public,9,Defense/National,Defense and national protection,8,"An Iranian cyber attack hit Israeli websites in April 2024, leading to war preparations and destabilization. The attack was intentional and originated externally, with severe impacts including stockpile alerts and power outages in several Israeli cities l",3.0,"War preparation, destabilization, stockpile alerts, and power outages.",express.co.uk,0,1,0,0,0,0
1281,31,3,2024,TI Safe,4,"Amid war, Israel confronts sharp rise in cyber attacks from Iran and Hezbollah, impacting essential organizations.",Country,Public,9,Country,Country,6,"Israel is experiencing a significant surge in cyber attacks from Iran and Hezbollah during the war, impacting critical organizations. Attacks evolved from creating public discord to effectively disrupting essential systems, targeting companies in the supp",3.0,Significant rise in damaging cyber attacks against Israel amid war.,poder360.com.br,0,1,0,0,0,0
1279,14,3,2024,TI Safe,4,Ransomware attack on Change Healthcare by BlackCat causes delays in healthcare services and investigations into data breaches.,Hospital and health,Health and Homecare,6,Health Services,Healthcare,15,"The US government will investigate the ransomware attack on Change Healthcare to check for breaches of health information and regulatory compliance. The attack, identified on February 21, 2024, caused significant delays in patient care across the country.",4.0,"Delays in patient care, prescription fulfillment, insurance claims processing, and payment receipt.",infosecurity-magazine.com,0,0,0,0,1,0
1278,12,3,2024,TI Safe,4,"Unprecedented intensity hacker attacks hit multiple ministries in France, controlled, but origin under investigation. Anonymous Sudan claims responsibility.",Government,Public,9,Ministries,Government,14,"France faced a series of unprecedented intensity hacker attacks on multiple ministries, as reported by the government on March 12, 2024. While most attacks have been controlled, the origin is still under investigation. Groups such as Anonymous Sudan, whic",4.0,"Unprecedented intensity hacker attacks on ministries, with partial control and ongoing investigation.",noticias.r7.com,0,0,0,1,0,0
1277,12,3,2024,TI Safe,4,"Ransomware attack compromises EquiLend employees' personal information, including names, birth dates, and Social Security numbers.",Tecnology,Technology,10,Fintech,Financial,13,"EquiLend, a financial technology firm, suffered a ransomware attack in January 2024, resulting in the breach of employees' personal data. On January 24, the company announced a service disruption due to a ""technical issue,"" later confirmed as a ransomware",3.0,Compromise of employees' personal information and service disruption for several days.,securityweek.com,0,0,0,0,1,0
1276,12,3,2024,TI Safe,4,"Unauthorized access to Banregio's control panel resulted in the extraction of project attachments and sensitive data, including HTML and screenshots.",Financial,Financial,5,Banks,Financial,13,"Dark web rumors suggest that Banregio, a leading financial institution in Mexico, may have suffered a data breach. An obscure threat actor claimed unauthorized access to Banregio's control panel, resulting in the extraction of project attachments, includi",3.0,"Compromise of sensitive project data and possible information on admin panels, FTP access, and server log files.",thecyberexpress.com,0,0,0,0,1,0
1275,12,3,2024,TI Safe,4,"Leicester City Council took critical systems offline after a ""cyber incident,"" possibly ransomware, disrupting essential services.",Government,Public,9,Public Services,Public,21,"Leicester City Council disconnected its IT systems and several critical phone lines following a ""cyber incident"" on March 7, 2024. Although the exact nature of the attack is unconfirmed, it is suspected to involve ransomware. Vital services such as child ",3.0,"Disruption of the council's critical IT systems and phone lines, affecting services like child protection and social care.",theregister.com,0,0,0,1,0,0
1274,12,3,2024,TI Safe,4,"Cryptocurrency phishing scams on fake X accounts led to the loss of nearly $47 million, mainly in ERC20 tokens.",Financial,Financial,5,Cryptocurrency,Financial,13,"Fake accounts on X were used to lure victims to phishing sites, resulting in the loss of nearly $47 million in February 2024. Scam Sniffer's report revealed that 78% of the total volume of thefts occurred on the Ethereum mainnet, with 86% of stolen tokens",3.0,"Theft of nearly $47 million from over 57,000 victims.",infosecurity-magazine.com,1,1,1,1,1,1
1273,11,3,2024,TI Safe,4,"UK.gov's ""ostrich"" approach to cybersecurity leaves the country exposed and unprepared for cyber threats, especially ransomware.",Government,Public,9,National Security,Defense and national protection,8,"The UK government is facing criticism for its inadequate cybersecurity strategy, leaving the country vulnerable to ransomware attacks and other threats. The lack of preparedness and proactive response is highlighted by parliamentarians as a serious issue ",3.0,"The UK government is ill-prepared to effectively handle cyber threats, potentially resulting in significant vulnerabilities in national security.",thestack.technology,0,0,0,1,0,0
1272,11,3,2024,TI Safe,4,"Nebula Hackers encrypted Russian electoral systems, demanding action against 'simulated' election.",Government,Public,9,Electoral systems,Government,14,"Nebula's cyberattack encrypted Russian electoral systems, demanding action against a ""simulated"" election. The country of origin for the attack was not specified. This high severity attack disrupted Russian electoral systems at a critical time during a pr",3.0,Disruption of Russian electoral systems.,thecyberexpress.com,0,1,0,0,0,0
1270,11,3,2024,TI Safe,4,"Intensive cyberattacks aiming to influence and destabilize Baltic States, including bomb threats in schools and government data breaches.",Government,Public,9,Public Services,Public,21,"In March 2024, pro-Kremlin hackers conducted intensive cyberattacks in the Baltic States, including bomb threats and data breaches. The goal was to destabilize these countries and undermine public trust, highlighting the increasing sophistication of Russi",3.0,"The attacks resulted in significant disruptions in the public and defense sectors, increasing public distrust and discontent.",thecyberexpress.com,0,1,0,0,0,0
1269,11,3,2024,TI Safe,4,"Pro-Kremlin hackers executed Estonia's largest DDoS attack, targeting government sites, including the Ministry of Justice.",Government,Public,9,Public Services,Public,21,"Over the weekend, pro-Kremlin hackers launched the largest DDoS attack in Estonia's history, targeting various government websites, including the Police, Border Guard, Tax and Customs Board, and Ministry of Justice. Despite the intensity of the attacks, E",4.0,The attack's impact was minimal due to rapid response and preventive measures in place.,tvpworld.com,0,0,0,1,0,0
1267,11,3,2024,TI Safe,4,"Data breach at UT Southwestern Medical Center exposed medical and health insurance information, addresses, and dates of birth of nearly 2,100 people. The hospital has not yet notified those affected.",Hospital and health,Health and Homecare,6,Healthcare and Public Health,Healthcare,15,"Nearly 2,100 patients and employees of UT Southwestern Medical Center were affected by a data security breach that exposed sensitive information. The breach, which was reported to the Texas Attorney General's Office on March 7, 2024, included medical and ",4.0,"Medical and health insurance information, addresses, and dates of birth of nearly 2,100 people at UT Southwestern Medical Center were potentially accessed by attackers. The hospital has not yet notified those affected about the breach.",nbcdfw.com,0,0,0,0,1,0
1264,13,3,2024,TI Safe,4,"Hackers exposed sensitive data, including US passports, from Duvel and Boulevard Brewing.",Food,Agricultural,0,Brewery.,Agricultural,2,"The news describes a serious cyberattack involving the theft of over a terabyte of sensitive data, including US passports, from Duvel and Boulevard Brewing. The hackers used the Black Basta ransomware, threatening to expose financial and logistical inform",3.0,Theft of sensitive data and exposure of confidential information.,cybernews.com,0,0,0,0,1,0
1263,5,3,2024,TI Safe,4,"The city of Oakley, in the US state of California, declared a state of emergency after experiencing a significant ransomware attack, which forced officials to take several of its systems offline.",Governemnt,Public,9,Governement sector of Oakley,Government,14,The ransomware attack forced the city of Oakley to shut down several of its systems to prevent further damage and protect sensitive data. The declaration of a state of emergency indicates the severity of the incident and underscores the need for a swift a,4.0,"The attack caused a significant impact, forcing the city of Oakley to declare a state of emergency and shut down several systems to contain the ransomware's spread.",teiss.co.uk,0,0,0,0,1,0
